height(cm),weight(kg),shoe_size,sex,foot_length(mm)
167.0,57.0,42.0,1,
168.0,65.0,42.0,1,
178.0,82.0,42.0,1,
172.0,55.0,42.0,1,
166.0,66.0,42.0,1,
173.0,56.0,42.0,1,
177.0,58.0,43.0,1,
174.0,62.0,42.0,1,
158.0,51.0,41.0,1,
170.0,55.0,42.0,1,
169.0,49.0,41.0,1,
180.0,67.0,41.0,1,
184.0,68.0,42.0,1,
171.0,75.0,43.0,1,
176.0,65.0,46.0,1,
172.0,65.0,42.0,1,
179.0,58.0,42.5,1,
172.0,61.0,42.5,1,
177.0,70.0,43.0,1,
172.0,55.0,42.0,1,
175.0,60.0,42.0,1,
172.0,65.0,42.0,1,
176.0,55.0,43.0,1,
168.0,52.0,41.0,1,
170.0,68.0,41.0,1,
176.0,54.0,42.0,1,
185.0,70.0,41.0,1,
160.0,49.0,38.0,1,
178.0,61.0,42.0,1,
172.0,65.0,41.0,1,
172.0,60.0,42.0,1,
178.0,55.0,43.0,1,
176.0,65.0,40.0,1,
176.0,67.0,42.0,1,
170.0,70.0,41.0,1,
180.0,75.0,46.0,1,
173.0,75.0,42.0,1,
169.0,50.0,39.0,1,
170.0,50.0,42.0,1,
170.0,55.0,42.0,1,
170.0,60.0,41.0,1,
167.0,54.0,41.0,1,
178.0,67.0,43.0,1,
175.0,56.0,42.0,1,
176.0,56.0,42.0,1,
171.0,70.0,42.0,1,
176.0,65.0,42.0,1,
174.0,65.0,41.0,1,
176.0,54.0,42.0,1,
178.0,80.0,42.0,1,
182.0,74.0,42.0,1,
175.0,66.0,42.0,1,
182.0,70.0,43.0,1,
172.0,63.0,43.0,1,
165.0,48.5,41.0,1,
174.0,76.0,43.0,1,
173.0,65.0,43.0,1,
180.0,72.0,42.0,1,
180.0,76.0,44.0,1,
178.0,78.0,45.0,1,
176.0,66.0,42.5,1,
168.0,52.0,40.0,1,
174.0,69.0,42.0,1,
171.0,65.0,42.0,1,
171.0,62.0,42.0,1,
171.0,59.0,42.5,1,
181.0,58.0,42.0,1,
166.0,62.0,40.0,1,
173.0,56.0,42.0,1,
179.0,59.0,42.0,1,
186.0,80.0,44.0,1,
174.0,55.0,42.0,1,
183.0,70.0,44.0,1,
172.0,62.0,42.0,1,
171.0,66.0,42.0,1,
174.0,60.0,41.0,1,
174.0,64.0,42.0,1,
180.0,63.0,42.0,1,
156.0,43.0,36.0,0,
161.0,45.0,36.0,0,
166.0,48.0,36.0,0,
169.0,52.0,36.0,0,
161.0,54.0,36.0,0,
163.0,62.0,36.0,0,
158.0,45.0,37.0,0,
157.0,45.0,37.0,0,
157.0,46.0,37.0,0,
163.0,50.0,37.0,0,
165.0,50.0,37.0,0,
165.0,51.0,37.0,0,
165.0,52.0,37.0,0,
165.0,63.0,37.0,0,
155.0,47.0,38.0,0,
165.0,47.0,38.0,0,
159.0,48.0,38.0,0,
155.0,51.0,38.0,0,
165.0,51.0,38.0,0,
168.0,52.0,38.0,0,
165.0,53.0,38.0,0,
162.0,53.0,38.0,0,
170.0,60.0,38.0,0,
160.0,62.0,38.0,0,
163.0,67.0,38.0,0,
169.0,62.0,39.0,0,
171.0,59.0,40.0,0,
152.0,42.0,35.0,0,
155.0,43.0,36.0,0,
162.0,50.0,37.0,0,
165.0,53.0,37.0,0,
160.0,54.0,36.0,0,
171.0,54.0,38.0,0,
168.0,59.0,37.0,0,
173.0,60.0,39.0,0,
169.0,56.0,38.0,0,
156.0,44.0,36.0,0,
162.0,53.0,38.0,0,
165.0,50.0,38.0,0,
162.0,52.0,38.0,0,
161.0,54.0,36.0,0,
165.0,52.0,38.0,0,
166.0,58.0,38.0,0,
165.0,58.0,37.0,0,
165.0,50.0,37.0,0,
169.0,62.0,38.0,0,
157.0,50.0,38.0,0,
161.0,46.0,36.0,0,
163.0,48.0,37.0,0,
162.0,53.0,38.0,0,
147.0,36.0,35.0,0,
163.0,55.0,38.0,0,
160.0,51.0,37.0,0,
164.0,52.0,38.0,0,
155.0,44.0,37.0,0,
158.0,51.0,36.0,0,
158.0,42.0,36.0,0,
158.0,41.0,38.0,0,
160.0,46.5,37.0,0,
165.0,51.0,37.0,0,
160.0,52.0,36.0,0,
159.0,60.0,38.0,0,
170.0,51.0,38.0,0,
158.0,44.0,36.0,0,
160.0,50.0,39.0,0,
158.0,50.0,37.0,0,
161.0,52.0,38.0,0,
175.0,47.0,37.0,0,
164.0,48.0,38.0,0,
166.0,52.0,36.0,0,
168.0,45.0,37.0,0,
162.0,53.0,37.0,0,
152.0,42.0,36.0,0,
156.0,43.0,36.0,0,
170.0,53.0,38.0,0,
169.0,48.0,38.0,0,
164.0,62.0,39.0,0,
173.0,50.0,38.0,1,
163.0,51.0,38.0,1,
165.0,56.0,38.0,1,
168.0,56.0,38.0,1,
171.0,68.0,38.0,1,
165.0,50.0,39.0,1,
163.0,59.0,39.0,1,
172.0,60.0,39.0,1,
172.0,65.0,39.0,1,
172.0,66.5,39.0,1,
174.0,50.0,40.0,1,
168.0,52.0,40.0,1,
175.0,54.0,40.0,1,
163.0,55.0,40.0,1,
173.0,56.0,40.0,1,
175.0,60.0,40.0,1,
173.0,62.0,40.0,1,
172.0,65.0,40.0,1,
174.0,67.0,40.0,1,
180.0,70.0,40.0,1,
174.0,84.0,40.0,1,
157.0,50.0,41.0,1,
164.0,53.0,41.0,1,
170.0,55.0,41.0,1,
178.0,56.0,41.0,1,
173.0,58.5,41.0,1,
178.0,60.0,41.0,1,
173.0,65.0,41.0,1,
167.0,65.0,41.0,1,
168.0,70.0,41.0,1,
178.0,70.0,41.0,1,
177.0,70.0,41.0,1,
176.0,73.0,41.0,1,
173.0,84.0,41.0,1,
172.0,55.0,42.0,1,
176.0,55.0,42.0,1,
169.0,56.0,42.0,1,
178.0,60.0,42.0,1,
181.0,60.0,42.0,1,
176.0,60.0,42.0,1,
173.0,60.0,42.0,1,
176.0,60.0,42.0,1,
179.0,61.0,42.0,1,
172.0,61.0,42.0,1,
176.0,62.0,42.0,1,
178.0,62.0,42.0,1,
172.0,62.0,42.0,1,
178.0,62.5,42.0,1,
175.0,63.0,42.0,1,
178.0,65.0,42.0,1,
168.0,67.0,42.0,1,
174.0,72.0,42.0,1,
180.0,75.0,42.0,1,
177.0,75.0,42.0,1,
177.0,75.0,42.0,1,
175.0,75.0,42.0,1,
176.0,75.0,42.0,1,
178.0,56.0,43.0,1,
181.0,65.0,43.0,1,
180.0,66.0,43.0,1,
178.0,67.0,43.0,1,
175.0,67.0,43.0,1,
185.0,70.0,43.0,1,
183.0,70.0,43.0,1,
178.0,70.0,43.0,1,
177.0,71.0,43.0,1,
181.0,73.0,43.0,1,
183.0,75.0,43.0,1,
178.0,78.0,43.0,1,
178.0,80.0,43.0,1,
174.0,83.0,43.0,1,
178.0,60.0,44.0,1,
178.0,65.0,44.0,1,
179.0,68.0,44.0,1,
174.0,88.0,44.0,1,
170.0,65.0,46.0,1,
178.0,56.0,45.0,1,
170.0,57.0,44.0,1,
176.0,60.0,45.0,1,
168.0,62.0,42.0,1,
180.0,62.0,45.0,1,
172.0,64.0,41.0,1,
181.0,74.0,43.0,1,
167.0,55.0,41.0,1,
176.0,66.0,43.0,1,
175.0,65.0,42.0,1,
162.0,48.0,43.0,1,
167.0,57.0,42.0,1,
168.0,65.0,42.0,1,
178.0,82.0,42.0,1,
172.0,55.0,42.0,1,
166.0,66.0,42.0,1,
173.0,56.0,42.0,1,
177.0,58.0,43.0,1,
174.0,62.0,42.0,1,
158.0,51.0,41.0,1,
170.0,55.0,42.0,1,
169.0,49.0,41.0,1,
180.0,67.0,41.0,1,
184.0,68.0,42.0,1,
171.0,75.0,43.0,1,
176.0,65.0,46.0,1,
172.0,65.0,42.0,1,
179.0,58.0,42.5,1,
172.0,61.0,42.5,1,
177.0,70.0,43.0,1,
172.0,55.0,42.0,1,
175.0,60.0,42.0,1,
172.0,65.0,42.0,1,
176.0,55.0,43.0,1,
168.0,52.0,41.0,1,
170.0,68.0,41.0,1,
176.0,54.0,42.0,1,
185.0,70.0,41.0,1,
160.0,49.0,38.0,1,
178.0,61.0,42.0,1,
172.0,65.0,41.0,1,
172.0,60.0,42.0,1,
178.0,55.0,43.0,1,
176.0,65.0,40.0,1,
176.0,67.0,42.0,1,
170.0,70.0,41.0,1,
180.0,75.0,46.0,1,
173.0,75.0,42.0,1,
169.0,50.0,39.0,1,
170.0,50.0,42.0,1,
170.0,55.0,42.0,1,
170.0,60.0,41.0,1,
167.0,54.0,41.0,1,
178.0,67.0,43.0,1,
175.0,56.0,42.0,1,
176.0,56.0,42.0,1,
171.0,70.0,42.0,1,
176.0,65.0,42.0,1,
174.0,65.0,41.0,1,
176.0,54.0,42.0,1,
178.0,80.0,42.0,1,
182.0,74.0,42.0,1,
175.0,66.0,42.0,1,
182.0,70.0,43.0,1,
172.0,63.0,43.0,1,
165.0,48.5,41.0,1,
174.0,76.0,43.0,1,
173.0,65.0,43.0,1,
180.0,72.0,42.0,1,
180.0,76.0,44.0,1,
178.0,78.0,45.0,1,
176.0,66.0,42.5,1,
168.0,52.0,40.0,1,
174.0,69.0,42.0,1,
171.0,65.0,42.0,1,
171.0,62.0,42.0,1,
171.0,59.0,42.5,1,
181.0,58.0,42.0,1,
166.0,62.0,40.0,1,
173.0,56.0,42.0,1,
179.0,59.0,42.0,1,
186.0,80.0,44.0,1,
174.0,55.0,42.0,1,
183.0,70.0,44.0,1,
172.0,62.0,42.0,1,
171.0,66.0,42.0,1,
174.0,60.0,41.0,1,
174.0,64.0,42.0,1,
180.0,63.0,42.0,1,
175.0,63.0,40.5,1,
175.0,55.0,42.0,1,
176.0,70.0,40.0,1,
179.0,65.0,42.0,1,
166.0,55.0,40.0,1,
172.0,65.0,41.0,1,
179.0,56.0,42.0,1,
171.0,57.0,42.0,1,
180.0,80.0,44.0,1,
180.0,77.0,42.0,1,
173.0,55.0,42.0,1,
171.0,70.0,42.0,1,
176.0,65.0,41.0,1,
177.0,70.0,43.0,1,
170.0,60.0,35.0,1,
166.0,54.0,40.0,1,
176.0,85.0,42.0,1,
174.0,60.0,43.0,1,
183.0,55.0,42.0,1,
182.0,70.0,44.0,1,
175.0,60.0,43.0,1,
183.0,70.0,43.0,1,
185.0,70.0,42.0,1,
173.0,55.0,41.0,1,
165.0,70.0,41.0,1,
172.0,55.0,42.0,1,
180.0,60.0,42.0,1,
172.0,70.0,43.0,1,
178.0,114.0,45.0,1,
170.0,60.0,40.0,1,
180.0,75.0,43.0,1,
173.0,73.0,42.0,1,
176.0,60.0,42.0,1,
170.0,75.0,41.0,1,
180.0,80.0,43.0,1,
167.0,58.0,40.0,1,
176.0,68.0,43.0,1,
174.0,62.0,42.0,1,
178.0,60.0,44.0,1,
175.0,66.0,42.0,1,
178.0,65.0,41.0,1,
179.0,70.0,42.0,1,
171.0,64.0,40.0,1,
173.0,72.0,42.0,1,
169.0,59.0,42.0,1,
180.0,78.0,44.0,1,
178.0,60.0,40.0,1,
177.0,65.0,45.0,1,
170.0,72.0,42.0,1,
178.0,50.0,42.0,1,
180.0,67.0,42.0,1,
180.0,74.0,44.0,1,
171.0,60.0,43.0,1,
175.0,56.0,42.0,1,
174.0,64.0,43.0,1,
185.0,80.0,43.0,1,
177.0,70.0,42.0,1,
180.0,65.0,43.0,1,
179.0,62.0,42.0,1,
176.0,65.0,42.0,1,
172.0,78.0,43.0,1,
170.0,63.0,41.0,1,
156.0,43.0,36.0,0,
161.0,45.0,36.0,0,
166.0,48.0,36.0,0,
169.0,52.0,36.0,0,
161.0,54.0,36.0,0,
163.0,62.0,36.0,0,
158.0,45.0,37.0,0,
157.0,45.0,37.0,0,
157.0,46.0,37.0,0,
163.0,50.0,37.0,0,
165.0,50.0,37.0,0,
165.0,51.0,37.0,0,
165.0,52.0,37.0,0,
165.0,63.0,37.0,0,
155.0,47.0,38.0,0,
165.0,47.0,38.0,0,
159.0,48.0,38.0,0,
155.0,51.0,38.0,0,
165.0,51.0,38.0,0,
168.0,52.0,38.0,0,
165.0,53.0,38.0,0,
162.0,53.0,38.0,0,
170.0,60.0,38.0,0,
160.0,62.0,38.0,0,
163.0,67.0,38.0,0,
169.0,62.0,39.0,0,
171.0,59.0,40.0,0,
152.0,42.0,35.0,0,
155.0,43.0,36.0,0,
162.0,50.0,37.0,0,
165.0,53.0,37.0,0,
160.0,54.0,36.0,0,
171.0,54.0,38.0,0,
168.0,59.0,37.0,0,
173.0,60.0,39.0,0,
169.0,56.0,38.0,0,
156.0,44.0,36.0,0,
162.0,53.0,38.0,0,
165.0,50.0,38.0,0,
162.0,52.0,38.0,0,
161.0,54.0,36.0,0,
165.0,52.0,38.0,0,
166.0,58.0,38.0,0,
165.0,58.0,37.0,0,
165.0,50.0,37.0,0,
169.0,62.0,38.0,0,
157.0,50.0,38.0,0,
161.0,46.0,36.0,0,
163.0,48.0,37.0,0,
162.0,53.0,38.0,0,
147.0,36.0,35.0,0,
163.0,55.0,38.0,0,
160.0,51.0,37.0,0,
164.0,52.0,38.0,0,
155.0,44.0,37.0,0,
158.0,51.0,36.0,0,
158.0,42.0,36.0,0,
158.0,41.0,38.0,0,
160.0,46.5,37.0,0,
165.0,51.0,37.0,0,
160.0,52.0,36.0,0,
159.0,60.0,38.0,0,
170.0,51.0,38.0,0,
158.0,44.0,36.0,0,
160.0,50.0,39.0,0,
158.0,50.0,37.0,0,
161.0,52.0,38.0,0,
175.0,47.0,37.0,0,
164.0,48.0,38.0,0,
166.0,52.0,36.0,0,
168.0,45.0,37.0,0,
162.0,53.0,37.0,0,
152.0,42.0,36.0,0,
156.0,43.0,36.0,0,
170.0,53.0,38.0,0,
169.0,48.0,38.0,0,
164.0,62.0,39.0,0,
160.0,47.0,37.0,0,
163.0,45.0,37.0,0,
157.0,43.0,36.0,0,
160.0,47.0,36.0,0,
160.0,43.0,36.0,0,
174.0,55.0,38.0,0,
162.0,53.0,37.0,0,
165.0,50.0,35.0,0,
158.0,44.0,35.0,0,
164.0,49.0,37.0,0,
155.0,48.0,35.0,0,
160.0,45.0,36.0,0,
163.0,58.0,38.0,0,
168.0,54.0,39.0,0,
172.0,52.0,38.0,0,
169.0,60.0,38.0,0,
163.0,62.0,38.0,0,
160.0,48.0,38.0,0,
169.0,51.0,39.0,0,
164.0,51.0,37.5,0,
165.0,45.0,36.0,0,
160.0,50.0,37.0,0,
165.0,55.0,38.0,0,
163.0,50.0,37.0,0,
165.0,60.0,37.0,0,
158.0,53.0,36.0,0,
171.0,59.0,41.0,0,
162.0,62.0,38.0,0,
165.0,50.0,37.0,0,
160.0,47.0,38.0,0,
160.0,53.0,36.0,0,
183.0,66.0,41.0,1,
180.0,80.0,41.0,1,
170.0,58.0,42.0,1,
175.0,78.0,42.0,1,
163.0,53.0,41.0,1,
176.0,64.0,44.0,1,
188.0,70.0,43.0,1,
182.0,71.5,44.0,1,
170.0,71.0,42.0,1,
170.0,64.0,41.0,1,
173.0,71.0,42.5,1,
178.0,75.0,43.0,1,
170.0,49.0,41.0,1,
175.0,70.0,42.0,1,
180.0,66.0,42.5,1,
184.0,81.0,46.0,1,
184.0,81.0,46.0,1,
170.0,65.0,41.0,1,
165.0,75.0,42.0,1,
172.0,56.0,41.0,1,
175.5,71.0,42.0,1,
186.0,75.0,43.0,1,
168.0,58.0,41.0,1,
174.0,58.0,41.0,1,
177.0,60.0,41.0,1,
173.0,67.0,42.0,1,
177.0,60.0,42.0,1,
179.0,50.0,44.0,1,
170.0,80.0,42.0,1,
172.0,51.2,41.0,1,
173.0,55.0,42.0,1,
171.0,62.0,40.0,1,
165.0,67.0,41.0,1,
160.0,60.0,38.0,0,
168.0,50.0,38.0,0,
177.0,50.0,39.0,0,
163.0,52.5,38.0,0,
163.0,55.0,37.5,0,
157.0,48.0,35.0,0,
158.0,52.0,37.0,0,
165.0,43.0,37.0,0,
158.0,45.0,36.0,0,
158.0,49.0,37.0,0,
180.0,75.0,44.0,1,
176.0,62.0,41.0,1,
175.0,61.0,39.0,1,
180.0,78.0,44.0,1,
186.0,81.0,44.0,1,
175.0,70.0,43.0,1,
180.0,67.0,43.0,1,
180.0,75.0,45.0,1,
172.0,65.0,42.0,1,
180.0,60.0,42.0,1,
180.0,70.0,42.0,1,
161.0,52.0,38.0,0,
167.0,55.0,40.0,1,
171.0,73.0,43.0,1,
178.0,72.0,42.0,1,
170.0,63.0,40.0,1,
165.0,80.0,42.0,1,
170.0,63.0,40.0,1,
158.0,46.0,35.0,0,
168.0,57.0,37.0,0,
165.0,54.0,36.0,0,
160.0,45.0,37.0,0,
162.0,47.0,37.0,0,
